de,en
"Die Frau ging zum Einkaufszentrum.","The woman went to the mall."
"Der Mann ging zum Einkaufszentrum.","The man went to the mall."
"Die Frau ging zum Markt","The woman went to the market."
"Der Mann ging zum Markt","The man went to the market."
"Der Weg dorthin dauerte dreißig Minuten.","The journey there took thirty minutes."
"Dieser Satz ist nur ein Füllwort und hat keinen sinnvollen Inhalt","This sentence is just filler, and has no meaningful content."
"Sie kaufte Kleidung.","She bought clothes."
"Er kaufte Kleidung.","He bought clothes."
"Sie kaufte Lebensmittel.","She bought groceries."
"Er kaufte Lebensmittel.","He bought groceries."
"Die Frau ging zum Einkaufszentrum. Der Weg dorthin dauerte dreißig Minuten. Dieser Satz ist nur ein Füllwort und hat keinen sinnvollen Inhalt. Sie kaufte Kleidung.","The woman went to the mall. The journey there took thirty minutes. This sentence is just filler, and has no meaningful content. She bought clothes."
"Der Mann ging zum Einkaufszentrum. Der Weg dorthin dauerte dreißig Minuten. Dieser Satz ist nur ein Füllwort und hat keinen sinnvollen Inhalt. Er kaufte Kleidung.","The man went to the mall. The journey there took thirty minutes. This sentence is just filler, and has no meaningful content. He bought clothes."
"Die Frau ging zum Markt. Der Weg dorthin dauerte dreißig Minuten. Dieser Satz ist nur ein Füllwort und hat keinen sinnvollen Inhalt. Sie kaufte Lebensmittel.","The woman went to the market. The journey there took thirty minutes. This sentence is just filler, and has no meaningful content. She bought groceries."
"Der Mann ging zum Einkaufszentrum. Er kaufte Kleidung.","The man went to the mall. He bought clothes."
